base,date,historical,rates.AED,rates.AFN,rates.ALL,rates.AMD,rates.ANG,rates.AOA,rates.ARS,rates.AUD,rates.AWG,rates.AZN,rates.BAM,rates.BBD,rates.BDT,rates.BGN,rates.BHD,rates.BIF,rates.BMD,rates.BND,rates.BOB,rates.BRL,rates.BSD,rates.BTC,rates.BTN,rates.BWP,rates.BYN,rates.BYR,rates.BZD,rates.CAD,rates.CDF,rates.CHF,rates.CLF,rates.CLP,rates.CNY,rates.COP,rates.CRC,rates.CUC,rates.CUP,rates.CVE,rates.CZK,rates.DJF,rates.DKK,rates.DOP,rates.DZD,rates.EGP,rates.ERN,rates.ETB,rates.EUR,rates.FJD,rates.FKP,rates.GBP,rates.GEL,rates.GGP,rates.GHS,rates.GIP,rates.GMD,rates.GNF,rates.GTQ,rates.GYD,rates.HKD,rates.HNL,rates.HRK,rates.HTG,rates.HUF,rates.IDR,rates.ILS,rates.IMP,rates.INR,rates.IQD,rates.IRR,rates.ISK,rates.JEP,rates.JMD,rates.JOD,rates.JPY,rates.KES,rates.KGS,rates.KHR,rates.KMF,rates.KPW,rates.KRW,rates.KWD,rates.KYD,rates.KZT,rates.LAK,rates.LBP,rates.LKR,rates.LRD,rates.LSL,rates.LTL,rates.LVL,rates.LYD,rates.MAD,rates.MDL,rates.MGA,rates.MKD,rates.MMK,rates.MNT,rates.MOP,rates.MRO,rates.MUR,rates.MVR,rates.MWK,rates.MXN,rates.MYR,rates.MZN,rates.NAD,rates.NGN,rates.NIO,rates.NOK,rates.NPR,rates.NZD,rates.OMR,rates.PAB,rates.PEN,rates.PGK,rates.PHP,rates.PKR,rates.PLN,rates.PYG,rates.QAR,rates.RON,rates.RSD,rates.RUB,rates.RWF,rates.SAR,rates.SBD,rates.SCR,rates.SDG,rates.SEK,rates.SGD,rates.SHP,rates.SLL,rates.SOS,rates.SRD,rates.STD,rates.SVC,rates.SYP,rates.SZL,rates.THB,rates.TJS,rates.TMT,rates.TND,rates.TOP,rates.TRY,rates.TTD,rates.TWD,rates.TZS,rates.UAH,rates.UGX,rates.USD,rates.UYU,rates.UZS,rates.VEF,rates.VND,rates.VUV,rates.WST,rates.XAF,rates.XAG,rates.XAU,rates.XCD,rates.XDR,rates.XOF,rates.XPF,rates.YER,rates.ZAR,rates.ZMK,rates.ZMW,rates.ZWL,success,timestamp
EUR,2018-11-22,False,4.189928,86.782526,124.564013,553.708443,2.025398,354.090413,41.369397,1.572528,2.05392,1.944988,1.954275,2.284009,95.724838,1.9561,0.42995,2034.698183,1.14075,1.625169,7.884805,4.342493,1.141206,0.000257,80.627269,12.02461,2.399118,22358.69391,2.300096,1.507672,1837.747907,1.134702,0.028573,760.194711,7.908362,3640.132259,685.556487,1.14075,30.229867,110.202083,25.995516,202.733619,7.462796,56.934882,135.036238,20.42744,17.111589,31.869081,1,2.411488,0.889716,0.886106,3.028628,0.885906,5.574161,0.88979,56.484268,10362.170926,8.803505,238.348431,8.933724,27.795539,7.431755,83.627191,321.543371,16592.432381,4.256559,0.885906,80.611042,1361.541792,48031.265465,141.215936,0.885906,143.985345,0.809361,128.842007,116.972629,79.675661,4609.880437,492.849646,1026.729348,1288.157342,0.346776,0.950861,418.986075,9747.134222,1726.46786,203.977632,180.238362,15.987584,3.368337,0.690028,1.592255,10.815505,19.609308,4159.287056,61.498965,1822.860483,2949.988168,9.204254,407.247728,39.412928,17.63616,829.518552,23.072345,4.781218,69.887999,16.004558,410.224396,36.942049,9.735131,129.065013,1.674809,0.439194,1.141035,3.849999,3.844497,59.757043,153.345287,4.301254,6763.838932,4.153476,4.658933,118.45559,74.814954,1015.113222,4.279978,9.342537,15.594432,54.336759,10.302646,1.565796,1.506814,9582.297598,662.7751,8.507723,24013.464964,9.984241,587.486283,15.777689,37.644966,10.754648,3.992624,3.315989,2.570224,6.035997,7.690878,35.235442,2623.036073,31.646668,4250.490142,1.14075,37.097088,9444.552034,283553.583564,26641.296394,128.831132,2.944304,655.452191,0.078624,0.000929,3.082933,0.822518,655.452077,119.162901,285.587246,15.783355,10268.115876,13.550992,367.726379,True,1542891847
EUR,2018-11-21,True,4.183056,86.492435,124.465347,551.5109,2.021319,353.486164,41.298698,1.568589,2.050415,1.938812,1.953271,2.273222,95.158766,1.956011,0.429414,2068.066256,1.138803,1.605997,7.868731,4.324718,1.138746,0.000249,81.17622,12.050822,2.398945,22320.538882,2.295314,1.506352,1834.612035,1.132311,0.028524,759.009713,7.888717,3635.628591,683.241899,1.138803,30.17828,110.599977,26.000239,202.387912,7.461358,57.224594,134.879811,20.452332,17.082308,32.023481,1,2.402079,0.888426,0.891313,3.023494,0.891412,5.494842,0.888426,56.399193,10420.047343,8.785407,237.577169,8.919389,27.741181,7.432626,83.429868,321.796048,16666.381966,4.246653,0.891412,81.202334,1356.314378,47949.300588,141.223238,0.891412,143.432097,0.807985,128.714364,116.590313,79.515896,4600.763835,492.008229,1024.98839,1296.310711,0.346315,0.948982,419.60305,9732.210805,1723.920373,203.527119,179.931517,15.960352,3.362589,0.688851,1.600056,10.808723,19.540747,4111.078801,61.444685,1819.160903,2940.730823,9.186612,406.552471,39.401492,17.605855,819.937657,23.070784,4.757464,69.723196,15.960369,414.523987,36.784476,9.706405,129.902593,1.668136,0.438417,1.138746,3.845731,3.816093,59.411598,152.912785,4.30291,6703.225807,4.146396,4.663352,118.401066,74.820724,1004.993651,4.271879,9.32681,15.564013,54.225243,10.286683,1.563975,1.504244,9565.945421,661.644174,8.493155,23972.486075,9.964186,586.48364,15.960331,37.478381,10.73219,3.985811,3.309077,2.570393,6.055061,7.67502,35.146881,2632.227209,31.616566,4236.176489,1.138803,37.000271,9442.95489,283069.701023,26594.466556,128.913367,2.954673,655.119535,0.078584,0.000929,3.077671,0.822368,662.783951,119.836172,285.099927,15.874231,10250.603618,13.550599,367.098855,True,1542844799
EUR,2018-11-20,True,4.177176,86.370081,124.405547,551.201644,2.01882,352.989596,41.143944,1.575879,2.047534,1.936087,1.945812,2.270369,94.618754,1.956099,0.428715,2065.161094,1.137203,1.581513,7.801612,4.272701,1.128959,0.000257,81.225036,12.103597,2.38989,22289.183617,2.292545,1.513333,1830.89706,1.131284,0.028484,763.861985,7.898334,3637.344582,682.174563,1.137203,30.135886,110.443472,26.026027,202.104081,7.462532,56.729399,134.724056,20.366201,17.058467,31.898464,1,2.406336,0.88703,0.88923,3.036659,0.889128,5.487121,0.88703,56.308593,10422.467965,8.774604,237.703891,8.905897,27.690852,7.428183,83.276263,321.453072,16681.975573,4.241544,0.889128,81.224718,1354.409066,47881.942758,140.968067,0.889128,142.161514,0.806849,128.170196,116.907681,79.412033,4594.300901,491.50232,1023.569149,1285.491593,0.345737,0.947842,416.705044,9718.53842,863.637291,201.602972,179.562125,16.05701,3.357866,0.687883,1.591572,10.802976,19.47176,4116.675691,61.397036,1816.966347,2929.246282,9.175981,405.98114,39.23124,17.570055,826.894566,23.178928,4.766024,69.60895,15.954696,413.94183,36.67494,9.760974,130.033493,1.674799,0.437818,1.128731,3.846594,3.822704,59.659971,152.838687,4.311081,6716.15159,4.140842,4.667079,118.33715,75.152761,1004.719068,4.266559,4.70918,15.545597,54.149639,10.345286,1.563701,1.502129,9552.507187,659.578142,8.481273,23938.810202,9.951723,585.659834,16.057162,37.519176,10.71979,3.991583,3.305625,2.56047,6.122138,7.610562,35.203244,2615.33887,31.350389,4236.59392,1.137203,36.936182,9416.04233,282672.05216,26538.912146,128.621371,2.962807,652.629259,0.0794,0.000931,3.073462,0.821262,664.126501,119.497482,284.698994,16.041847,10236.193416,13.506546,366.583165,True,1542758399
EUR,2018-11-19,True,4.20737,87.083286,124.510899,555.649233,2.033127,355.42745,41.128163,1.570248,2.06182,1.950139,1.960849,2.286616,95.232007,1.955407,0.431917,2079.002079,1.145456,1.579068,7.854561,4.302216,1.13675,0.000239,82.015684,12.142981,2.411416,22450.931542,2.308838,1.508846,1845.329778,1.137664,0.028691,766.998487,7.951808,3637.394546,692.205356,1.145456,30.354576,110.708373,26.024525,203.570143,7.462506,57.593436,135.037468,20.508229,17.181705,32.141203,1,2.411532,0.893524,0.890833,3.047426,0.890832,5.618452,0.893524,56.699127,10498.100782,8.837248,239.566337,8.970905,27.822697,7.428313,83.049552,321.216697,16789.745881,4.242023,0.890832,82.129862,1363.092272,48229.412162,140.799899,0.890832,143.158986,0.812697,128.804252,117.764037,79.987063,4627.641364,492.603629,1030.983692,1291.146588,0.348162,0.954571,420.474029,9787.919117,1729.638252,203.032315,180.924832,16.071252,3.382233,0.692875,1.603356,10.831663,19.604451,4009.095054,61.547055,1835.077667,2944.600171,9.240104,408.927469,39.692352,17.70837,824.727824,23.334129,4.798888,69.924295,16.070302,415.230497,36.940773,9.708654,131.309375,1.674542,0.440806,1.136521,3.865883,3.844726,60.170775,153.634179,4.32984,6768.498045,4.170725,4.667622,118.302402,75.133421,1010.864647,4.297979,9.437396,15.652666,54.544282,10.308575,1.570992,1.513035,9593.191621,664.3644,8.542781,24112.52912,10.02291,589.909413,16.070572,37.706686,10.789792,4.020549,3.327571,2.579623,6.085834,7.661208,35.405993,2635.228387,31.577883,4278.219312,1.145456,37.399208,9478.64578,284723.344176,26702.290339,128.508199,2.970889,657.651586,0.079388,0.000936,3.095766,0.825106,668.94612,119.654253,286.701424,16.066665,10310.474887,13.578805,369.243382,True,1542671999
EUR,2018-11-18,True,4.192183,86.198102,124.431664,549.161395,2.00977,354.157703,40.837916,1.560072,2.055025,1.94317,1.954642,2.260242,94.863866,1.954809,0.426841,2018.672708,1.141364,1.558534,7.824219,4.273267,1.132318,0.000205,81.945197,12.097257,2.392241,22370.726307,2.282328,1.500591,1838.737012,1.140764,0.028588,765.287127,7.918803,3612.016276,687.23809,1.141364,30.246135,110.203206,25.990009,202.843267,7.461904,56.874715,134.875041,20.294017,17.120344,31.612341,1,2.404963,0.890275,0.889436,3.018947,0.889435,5.46051,0.890275,56.617376,10282.887039,8.735655,236.815777,8.937396,27.393015,7.425371,82.09429,321.711542,16677.604734,4.228983,0.889435,81.932768,1351.089146,48057.113672,140.604701,0.889435,142.59623,0.809795,128.669915,117.183876,79.713182,4571.048207,492.669526,1027.314453,1279.921616,0.347191,0.943634,418.589392,9672.085644,1713.186421,200.132429,180.478124,15.956231,3.37015,0.690399,1.580443,10.817501,19.379211,4117.012183,61.500669,1813.912004,2931.824999,9.134504,407.467035,39.536337,17.645249,826.204619,22.991776,4.78517,69.64025,16.241251,416.026188,36.617797,9.627062,130.241344,1.663457,0.439356,1.132341,3.830017,3.814951,60.007156,152.229361,4.318252,6708.078877,4.155419,4.720224,118.199363,75.358764,1006.910957,4.282507,9.399643,15.600732,53.909453,10.280828,1.567298,1.507631,9587.454045,661.991264,8.512307,24026.387881,9.908006,587.802598,16.100054,37.510908,10.669578,4.006186,3.299687,2.570408,6.093399,7.63167,35.13686,2631.984745,31.432025,4231.374717,1.141364,37.07663,9381.038599,283706.179066,26390.095247,128.893468,2.953053,655.565181,0.079171,0.000934,3.08482,0.823454,655.565026,119.192774,285.768934,15.964027,10273.648319,13.412145,367.924272,True,1542585599
EUR,2018-11-17,True,4.194999,86.250283,124.507236,549.493832,2.010987,354.372075,40.836488,1.556792,2.056269,1.944352,1.955826,2.26161,94.921289,1.956001,0.4271,2019.894588,1.142054,1.55948,7.828955,4.275286,1.133004,0.000206,82.215789,12.104682,2.393689,22384.267058,2.28371,1.501631,1839.850119,1.139879,0.028606,764.457434,7.92362,3614.202589,687.654272,1.142054,30.264443,110.269971,25.994347,202.966365,7.462988,56.909149,134.957022,20.292069,17.131226,31.631528,1,2.406428,0.890814,0.889346,3.02078,0.890042,5.463822,0.890814,56.651656,10289.11548,8.740947,236.959211,8.941491,27.409712,7.429868,82.143983,321.7286,16687.699503,4.231545,0.890042,82.205654,1351.906945,48086.202672,140.199044,0.890042,142.682617,0.810292,128.852338,116.700878,79.761521,4573.818172,492.968238,1027.461585,1280.704181,0.347402,0.944205,418.842801,9677.941084,1714.224115,200.253581,180.587403,15.966357,3.37219,0.690818,1.581407,10.824054,19.390987,4119.508868,61.537895,1815.010455,2927.656561,9.140033,407.713831,39.663983,17.656594,826.704703,23.034786,4.7827,69.682496,16.251866,416.2831,36.639966,9.637842,130.320262,1.660833,0.439623,1.133027,3.832335,3.81726,60.043556,152.321555,4.303951,6712.139895,4.157935,4.666896,118.271585,75.35664,1007.520428,4.285221,9.405333,15.610176,53.942091,10.285461,1.567246,1.508544,9593.257697,662.391963,8.517486,24040.930786,9.914004,588.158423,16.109863,37.510821,10.676044,4.008611,3.301723,2.571964,6.089324,7.63629,35.194735,2618.902563,31.45108,4233.942578,1.142054,37.099072,9386.717183,283877.903378,26406.068877,126.75662,2.994374,655.962227,0.079235,0.000935,3.086688,0.826187,655.962226,119.265161,285.941924,15.994515,10279.864544,13.420324,368.146972,True,1542499199
EUR,2018-11-16,True,4.194824,64.157768,124.655703,554.719144,2.027433,354.372075,41.023055,1.557809,2.056269,1.944352,1.971762,2.280055,95.597998,1.956001,0.430572,2073.970866,1.142054,1.576154,7.892796,4.277684,1.139999,0.000209,82.030746,12.20404,2.41328,22384.267058,2.302325,1.501631,1839.850119,1.141992,0.028606,765.751971,7.92362,3618.028471,693.273179,1.142054,30.264443,111.111665,25.996476,202.966365,7.462645,57.35973,134.957022,20.450815,17.131226,32.046495,1,2.422873,0.890814,0.889455,3.02078,0.889908,5.505148,0.890814,56.651656,10461.219092,8.812378,238.895392,8.941544,27.78052,7.430668,82.815511,322.870654,16687.699503,4.231545,0.889908,81.982423,1359.044786,48086.202672,140.199044,0.889908,143.853618,0.810292,128.863758,117.255169,79.761521,4613.900345,492.968238,1027.461585,1280.818387,0.347402,0.95192,422.263646,9764.565876,1729.013759,201.847138,180.587403,15.966357,3.37219,0.690818,1.604631,10.830147,19.549733,4097.691733,61.656138,1829.857163,2928.221475,9.214495,407.713831,39.661842,17.656594,830.479581,23.004447,4.7827,69.682496,16.251866,415.70821,36.843107,9.638259,131.382373,1.660209,0.439697,1.142226,3.854324,3.839873,60.043556,153.035686,4.316224,6766.958508,4.157935,4.666896,118.283005,75.35664,1007.863045,4.284422,9.405333,15.61307,54.383534,10.284776,1.567246,1.508544,9593.257697,662.391963,8.517486,24040.930786,9.995036,588.158423,16.251857,37.511964,10.76335,4.008611,3.301723,2.571964,6.089478,7.682886,35.194735,2633.577926,31.926175,4268.661033,1.142054,37.402702,9453.35978,283877.903378,26617.862874,126.850368,2.992922,661.307042,0.079235,0.000935,3.086688,0.826083,666.960174,119.805622,285.941924,15.994515,10279.864544,13.529962,368.146972,True,1542412799
EUR,2018-11-15,True,4.159724,86.270325,124.569591,551.809391,2.010783,351.39245,40.818127,1.557405,2.038413,1.928002,1.958405,2.259355,95.006481,1.955633,0.427036,2055.400096,1.132452,1.561877,7.827903,4.285081,1.132848,0.000202,81.434049,12.142195,2.401813,22196.056135,2.283478,1.491949,1823.247688,1.140271,0.028365,762.928516,7.858312,3621.920731,697.83384,1.132452,30.009974,110.778135,26.013328,201.259,7.46195,56.877352,134.172804,20.284448,16.986505,31.765248,1,2.386186,0.883437,0.887156,3.035118,0.887123,5.551843,0.883437,56.175332,10387.413042,8.739867,236.823983,8.868875,27.49622,7.425883,82.243206,322.012479,16494.387593,4.203945,0.887123,81.425212,1347.617694,47681.884951,140.401542,0.887123,142.960619,0.803474,128.601281,116.863337,79.100856,4581.900025,493.126466,1019.286746,1277.405846,0.344662,0.944063,423.695696,9682.463119,1712.947534,199.945187,179.068955,16.115003,3.343836,0.685009,1.585969,10.786039,19.347917,2080.871547,61.575963,1819.340152,2907.291287,9.13849,404.285738,39.3544,17.496754,823.773766,22.932535,4.747219,69.085206,16.312978,411.642414,36.521274,9.611492,130.464147,1.659535,0.435988,1.132848,3.827124,3.801678,59.651331,151.890112,4.286273,6720.252342,4.123374,4.662414,118.239469,74.636498,1000.521204,4.248677,9.313907,15.480927,53.944344,10.269986,1.558379,1.495855,9455.973132,656.822356,8.445799,23838.790338,9.91326,583.212958,16.21109,37.313762,10.676305,3.963581,3.288188,2.560133,6.109461,7.635387,34.882905,2605.434511,31.657669,4230.9522,1.132452,37.02018,9371.039114,281495.083342,26396.320023,128.629734,2.936296,656.833871,0.079223,0.000933,3.060848,0.819565,656.844968,119.898338,283.509221,16.086367,10193.423332,13.424092,365.051527,True,1542326399
EUR,2018-11-14,True,4.154829,86.137182,124.822573,551.955895,2.007738,351.001349,40.601577,1.563873,2.036638,1.925783,1.962206,2.256025,94.864045,1.954565,0.426579,2054.170838,1.131151,1.755937,7.816199,4.280162,1.131095,0.000199,81.808926,12.176814,2.42796,22170.566311,2.280118,1.498532,1822.285108,1.138055,0.028333,772.011786,7.862068,3623.643325,699.619931,1.131151,29.975511,110.719924,26.01671,201.028524,7.462353,56.851788,134.148877,20.261132,16.967034,31.739935,1,2.392503,0.870992,0.871083,3.031449,0.871035,5.53687,0.870992,56.110734,5324.329325,8.726797,236.285951,8.85799,27.430435,7.421523,82.109712,322.559251,16761.739937,4.179016,0.871035,81.923697,1347.201249,47627.127118,140.398775,0.871035,142.932118,0.802551,128.462608,116.293373,78.99203,4575.506843,500.765648,1018.112361,1280.722459,0.344326,0.942622,424.328378,9671.343876,1712.563438,199.320246,178.778165,16.299274,3.339996,0.684222,1.589285,10.79343,19.317235,4089.111788,61.444704,1816.628977,2898.389543,9.12579,403.821373,39.369668,17.487425,814.428872,23.079667,4.746874,68.938039,16.271623,412.303861,36.540999,9.624253,130.868586,1.66579,0.435442,1.131208,3.822208,3.812282,60.018517,151.85702,4.295112,6707.51169,4.118498,4.656963,118.159647,75.892449,998.24106,4.24374,9.286979,15.423811,53.863734,10.275882,1.55979,1.494138,9445.113867,656.067577,8.436098,23811.414007,9.897797,582.54293,16.294222,37.260292,10.655334,3.970341,3.296512,2.560644,6.179683,7.623903,34.815721,2591.467655,31.479656,4226.548309,1.131151,36.886802,9374.415717,281113.674986,26371.209936,128.148377,2.937391,658.205826,0.079994,0.000934,3.056993,0.818051,665.116661,119.901785,283.127053,16.251268,10181.726266,13.455008,364.632303,True,1542239999
EUR,2018-11-13,True,4.154661,85.904791,124.869677,552.733086,2.007601,350.977534,40.734482,1.564191,2.035934,1.925653,1.803051,2.255759,94.822525,1.955398,0.42637,2052.900358,1.131075,1.719448,7.815669,4.301359,1.131131,0.000179,82.103047,12.188485,2.42361,22169.061717,2.279904,1.495863,1821.029875,1.137842,0.028331,782.136125,7.867986,3605.865753,700.440341,1.131075,29.973476,110.86736,25.945686,201.014646,7.461928,56.435002,134.320758,20.266582,16.965878,31.726666,1,2.402006,0.882492,0.869152,3.059546,0.868947,5.536582,0.882259,56.106899,10332.365925,8.72613,236.637779,8.857502,27.48713,7.424366,82.077581,322.923322,16744.201829,4.177002,0.868947,82.076393,1347.109822,47623.894669,140.287435,0.868947,143.329496,0.80205,128.709525,116.285471,79.002502,4569.540987,488.482873,1018.035927,1280.523301,0.344301,0.942559,423.97184,9677.473921,1712.904888,199.193531,178.710153,15.925611,3.339769,0.684176,1.575414,10.790345,19.255985,4015.314628,61.78151,1816.449531,2903.101927,9.121042,403.793513,39.308236,17.475396,822.579627,23.153661,4.743683,68.888138,15.925656,410.579853,36.510894,9.593325,131.510621,1.670959,0.435463,1.131131,3.820203,3.8015,60.014639,150.433187,4.293389,6702.91786,4.11821,4.659571,118.287732,76.88321,999.304389,4.241757,9.296757,15.429,53.860072,10.228532,1.558564,1.494032,9557.580443,657.15386,8.435557,23809.798058,9.896959,582.503313,15.925553,37.257907,10.661845,3.970072,3.301271,2.562845,6.197123,7.62316,34.815604,2589.823443,31.551334,4230.162351,1.131075,36.82753,9383.394654,281094.597725,26371.003772,128.807177,2.93431,659.29155,0.080638,0.00094,3.056785,0.818327,663.374474,118.893539,283.163903,16.329549,10181.029917,13.515778,364.607558,True,1542153599
